Security Code,Security Id,Security Name,Status,Group,Face Value,ISIN No,Industry,Instrument,Sector Name,Industry New Name
533177,IL&FSTRANS,IL&FS Transportation Networks Ltd,Active,Z ,10,INE975G01012,Civil Construction,Equity,Industrials,Construction
533179,PERSISTENT,Persistent Systems Ltd,Active,A ,5,INE262H01021,Computers - Software & Consulting,Equity,Information Technology,Information Technology
533181,ISFT,Intrasoft Technologies Ltd,Active,B ,10,INE566K01011,E-Retail/ E-Commerce,Equity,Consumer Discretionary,Consumer Services
533189,GOENKA,Goenka Diamond & Jewels Ltd,Active,Z ,1,INE516K01024,Gems- Jewellery And Watches,Equity,Consumer Discretionary,Consumer Durables
533192,KCPSUGIND,KCP Sugar & Industries Corporation Ltd,Active,B ,1,INE790B01024,Sugar,Equity,Fast Moving Consumer Goods,Fast Moving Consumer Goods
533193,KECL,Kirloskar Electric Company Ltd,Active,B ,10,INE134B01017,Other Electrical Equipment,Equity,Industrials,Capital Goods
533202,SATCH,Satchmo Holdings Ltd,Active,X ,10,INE639K01016,Diversified Commercial Services,Equity,Services,Services
533203,TARAPUR,Tarapur Transformers Ltd,Active,T ,10,INE747K01017,Heavy Electrical Equipment,Equity,Industrials,Capital Goods
533206,SJVN,SJVN Ltd,Active,A ,10,INE002L01015,Power Generation,Equity,Utilities,Power
533208,EMAMIPAP,Emami Paper Mills Ltd,Active,B ,2,INE830C01026,Paper & Paper Products,Equity,Commodities,Forest Materials
533210,KRITINUT,Kriti Nutrients Ltd,Active,B ,1,INE798K01010,Edible Oil,Equity,Fast Moving Consumer Goods,Fast Moving Consumer Goods
533212,GKB,GKB Ophthalmics Ltd,Active,X ,10,INE265D01015,Medical Equipment & Supplies,Equity,Healthcare,Healthcare
533217,HMVL,Hindustan Media Ventures Ltd,Active,B ,10,INE871K01015,Print Media,Equity,Consumer Discretionary,"Media, Entertainment & Publication"
533218,EMAMIREAL,Emami Realty Ltd,Active,B ,2,INE778K01012,Residential- Commercial Projects,Equity,Consumer Discretionary,Realty
533227,AHLEAST,Asian Hotels (East) Ltd,Active,B ,10,INE926K01017,Hotels & Resorts,Equity,Consumer Discretionary,Consumer Services
533229,BAJAJCON,Bajaj Consumer Care Ltd,Active,A ,1,INE933K01021,Personal Care,Equity,Fast Moving Consumer Goods,Fast Moving Consumer Goods
533239,PRAKASHSTL,Prakash Steelage Ltd,Active,B ,1,INE696K01024,Iron & Steel Products,Equity,Industrials,Capital Goods
533248,GPPL,Gujarat Pipavav Port Ltd,Active,A ,10,INE517F01014,Port & Port services,Equity,Services,Services
